#  Guess pulse generated by entanglement.pyc
#  Blackman pulse with E0 = 425 MHz
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  2.14607303651825916E+01  1.99934695915023681E+01  0.00000000000000000E+00
  2.15607803901950987E+01  2.02026402521739463E+01  0.00000000000000000E+00
  2.16608304152076059E+01  2.04131587410667095E+01  0.00000000000000000E+00
  2.17608804402201130E+01  2.06250291700199462E+01  0.00000000000000000E+00
  2.18609304652326202E+01  2.08382556458104631E+01  0.00000000000000000E+00
  2.19609804902451238E+01  2.10528422698666589E+01  0.00000000000000000E+00
  2.20610305152576309E+01  2.12687931379829323E+01  0.00000000000000000E+00
  2.21610805402701381E+01  2.14861123400334151E+01  0.00000000000000000E+00
  2.22611305652826417E+01  2.17048039596857265E+01  0.00000000000000000E+00
  2.23611805902951488E+01  2.19248720741144183E+01  0.00000000000000000E+00
  2.24612306153076560E+01  2.21463207537141180E+01  0.00000000000000000E+00
  2.25612806403201631E+01  2.23691540618125764E+01  0.00000000000000000E+00
  2.26613306653326703E+01  2.25933760543835369E+01  0.00000000000000000E+00
  2.27613806903451739E+01  2.28189907797593250E+01  0.00000000000000000E+00
  2.28614307153576810E+01  2.30460022783433338E+01  0.00000000000000000E+00
  2.29614807403701882E+01  2.32744145823224464E+01  0.00000000000000000E+00
  2.30615307653826918E+01  2.35042317153790421E+01  0.00000000000000000E+00
  2.31615807903951989E+01  2.37354576924033154E+01  0.00000000000000000E+00
  2.32616308154077061E+01  2.39680965192050053E+01  0.00000000000000000E+00
  2.33616808404202132E+01  2.42021521922253271E+01  0.00000000000000000E+00
  2.34617308654327203E+01  2.44376286982488011E+01  0.00000000000000000E+00
  2.35617808904452239E+01  2.46745300141147723E+01  0.00000000000000000E+00
  2.36618309154577311E+01  2.49128601064292212E+01  0.00000000000000000E+00
  2.37618809404702382E+01  2.51526229312762304E+01  0.00000000000000000E+00
  2.38619309654827418E+01  2.53938224339294720E+01  0.00000000000000000E+00
  2.39619809904952490E+01  2.56364625485638591E+01  0.00000000000000000E+00
  2.40620310155077561E+01  2.58805471979669228E+01  0.00000000000000000E+00
  2.41620810405202633E+01  2.61260802932502934E+01  0.00000000000000000E+00
  2.42621310655327704E+01  2.63730657335613188E+01  0.00000000000000000E+00
  2.43621810905452740E+01  2.66215074057944960E+01  0.00000000000000000E+00
  2.44622311155577812E+01  2.68714091843031113E+01  0.00000000000000000E+00
  2.45622811405702883E+01  2.71227749306108343E+01  0.00000000000000000E+00
  2.46623311655827919E+01  2.73756084931233552E+01  0.00000000000000000E+00
  2.47623811905952991E+01  2.76299137068402274E+01  0.00000000000000000E+00
  2.48624312156078062E+01  2.78856943930666610E+01  0.00000000000000000E+00
  2.49624812406203134E+01  2.81429543591255253E+01  0.00000000000000000E+00
  2.50625312656328205E+01  2.84016973980693983E+01  0.00000000000000000E+00
  2.51625812906453241E+01  2.86619272883927039E+01  0.00000000000000000E+00
  2.52626313156578313E+01  2.89236477937441805E+01  0.00000000000000000E+00
  2.53626813406703384E+01  2.91868626626391787E+01  0.00000000000000000E+00
  2.54627313656828420E+01  2.94515756281725061E+01  0.00000000000000000E+00
  2.55627813906953492E+01  2.97177904077311865E+01  0.00000000000000000E+00
  2.56628314157078563E+01  2.99855107027073799E+01  0.00000000000000000E+00
  2.57628814407203635E+01  3.02547401982118238E+01  0.00000000000000000E+00
  2.58629314657328706E+01  3.05254825627870687E+01  0.00000000000000000E+00
  2.59629814907453742E+01  3.07977414481212541E+01  0.00000000000000000E+00
  2.60630315157578814E+01  3.10715204887620509E+01  0.00000000000000000E+00
  2.61630815407703885E+01  3.13468233018307529E+01  0.00000000000000000E+00
  2.62631315657828921E+01  3.16236534867367283E+01  0.00000000000000000E+00
  2.63631815907953992E+01  3.19020146248921996E+01  0.00000000000000000E+00
  2.64632316158079064E+01  3.21819102794272212E+01  0.00000000000000000E+00
  2.65632816408204135E+01  3.24633439949049176E+01  0.00000000000000000E+00
  2.66633316658329207E+01  3.27463192970372319E+01  0.00000000000000000E+00
  2.67633816908454243E+01  3.30308396924007823E+01  0.00000000000000000E+00
  2.68634317158579314E+01  3.33169086681533315E+01  0.00000000000000000E+00
  2.69634817408704386E+01  3.36045296917502370E+01  0.00000000000000000E+00
  2.70635317658829422E+01  3.38937062106616480E+01  0.00000000000000000E+00
  2.71635817908954493E+01  3.41844416520898307E+01  0.00000000000000000E+00
  2.72636318159079565E+01  3.44767394226870181E+01  0.00000000000000000E+00
  2.73636818409204636E+01  3.47706029082736094E+01  0.00000000000000000E+00
  2.74637318659329708E+01  3.50660354735568163E+01  0.00000000000000000E+00
  2.75637818909454744E+01  3.53630404618496215E+01  0.00000000000000000E+00
  2.76638319159579815E+01  3.56616211947905413E+01  0.00000000000000000E+00
  2.77638819409704887E+01  3.59617809720632948E+01  0.00000000000000000E+00
  2.78639319659829923E+01  3.62635230711174046E+01  0.00000000000000000E+00
  2.79639819909954994E+01  3.65668507468890809E+01  0.00000000000000000E+00
  2.80640320160080066E+01  3.68717672315226324E+01  0.00000000000000000E+00
  2.81640820410205137E+01  3.71782757340924093E+01  0.00000000000000000E+00
  2.82641320660330209E+01  3.74863794403251731E+01  0.00000000000000000E+00
  2.83641820910455245E+01  3.77960815123230702E+01  0.00000000000000000E+00
  2.84642321160580316E+01  3.81073850882872875E+01  0.00000000000000000E+00
  2.85642821410705388E+01  3.84202932822418859E+01  0.00000000000000000E+00
  2.86643321660830424E+01  3.87348091837586352E+01  0.00000000000000000E+00
  2.87643821910955495E+01  3.90509358576821910E+01  0.00000000000000000E+00
  2.88644322161080567E+01  3.93686763438557392E+01  0.00000000000000000E+00
  2.89644822411205638E+01  3.96880336568477716E+01  0.00000000000000000E+00
  2.90645322661330709E+01  4.00090107856787043E+01  0.00000000000000000E+00
  2.91645822911455745E+01  4.03316106935488250E+01  0.00000000000000000E+00
  2.92646323161580817E+01  4.06558363175665960E+01  0.00000000000000000E+00
  2.93646823411705888E+01  4.09816905684774611E+01  0.00000000000000000E+00
  2.94647323661830924E+01  4.13091763303936119E+01  0.00000000000000000E+00
  2.95647823911955996E+01  4.16382964605242520E+01  0.00000000000000000E+00
  2.96648324162081067E+01  4.19690537889066277E+01  0.00000000000000000E+00
  2.97648824412206139E+01  4.23014511181377344E+01  0.00000000000000000E+00
  2.98649324662331210E+01  4.26354912231066976E+01  0.00000000000000000E+00
  2.99649824912456246E+01  4.29711768507280070E+01  0.00000000000000000E+00
  3.00650325162581318E+01  4.33085107196753185E+01  0.00000000000000000E+00
