# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   1.8430930930930931E+01   5.7377413418389395E-02  -1.6564117086599883E-01
   1.8506006006006007E+01   5.8118053379157472E-02  -1.6538641327769421E-01
   1.8581081081081084E+01   5.8861572339703259E-02  -1.6511029781574307E-01
   1.8656156156156158E+01   5.9608112920945512E-02  -1.6481278793125001E-01
   1.8731231231231234E+01   6.0357882719625888E-02  -1.6449411259543245E-01
   1.8806306306306308E+01   6.1111129619314898E-02  -1.6415472211459417E-01
   1.8881381381381381E+01   6.1868116527544433E-02  -1.6379525216379731E-01
   1.8956456456456458E+01   6.2629101674851750E-02  -1.6341647941563411E-01
   1.9031531531531535E+01   6.3394328435741956E-02  -1.6301924478638249E-01
   1.9106606606606608E+01   6.4164025181620218E-02  -1.6260432262280236E-01
   1.9181681681681685E+01   6.4938412053672318E-02  -1.6217222678823084E-01
   1.9256756756756758E+01   6.5717708981637479E-02  -1.6172296479180795E-01
   1.9331831831831831E+01   6.6502138737767516E-02  -1.6125577321105039E-01
   1.9406906906906908E+01   6.7291920662087251E-02  -1.6076888478368243E-01
   1.9481981981981985E+01   6.8087254506154410E-02  -1.6025938359929676E-01
   1.9557057057057058E+01   6.8888298490045047E-02  -1.5972319649726241E-01
   1.9632132132132135E+01   6.9695149621267591E-02  -1.5915524679398727E-01
   1.9707207207207208E+01   7.0507836120178149E-02  -1.5854976564652831E-01
   1.9782282282282281E+01   7.1326330527497997E-02  -1.5790072444007905E-01
   1.9857357357357358E+01   7.2150587743078115E-02  -1.5720232699660538E-01
   1.9932432432432435E+01   7.2980605869164286E-02  -1.5644948971885722E-01
   2.0007507507507508E+01   7.3816501075329041E-02  -1.5563824364716639E-01
   2.0082582582582585E+01   7.4658582783492092E-02  -1.5476601263041154E-01
   2.0157657657657658E+01   7.5507413921844957E-02  -1.5383175004033114E-01
   2.0232732732732732E+01   7.6363843512759641E-02  -1.5283594416863044E-01
   2.0307807807807809E+01   7.7229004926369721E-02  -1.5178052165877581E-01
   2.0382882882882885E+01   7.8104281119901225E-02  -1.5066868413570375E-01
   2.0457957957957959E+01   7.8991245810285715E-02  -1.4950470533787130E-01
   2.0533033033033036E+01   7.9891594544246353E-02  -1.4829369898590095E-01
   2.0608108108108109E+01   8.0807080523456365E-02  -1.4704134910091721E-01
   2.0683183183183182E+01   8.1739466539497929E-02  -1.4575358303738190E-01
   2.0758258258258259E+01   8.2690497573050442E-02  -1.4443616951722549E-01
   2.0833333333333336E+01   8.3661890692643098E-02  -1.4309424138657120E-01
