#        t [ns]                  pop[00]                  pop[01]                  pop[10]                  pop[11]
      49.024512   2.0868835995936397E-01   6.8405021127976307E-01   3.4621993825262650E-03   3.0428106568932353E-02
      49.224612   1.9560948614556126E-01   6.8740841753919701E-01   3.1798815127837745E-03   3.1240453111645226E-02
      49.424712   1.8390769178836042E-01   6.8976086787136859E-01   2.9189552644562646E-03   3.1763773909209807E-02
      49.624812   1.7392591647091218E-01   6.9105530735406417E-01   2.6803957369431180E-03   3.1950876349672842E-02
      49.824912   1.6595255302014422E-01   6.9130802576460937E-01   2.4660177471557106E-03   3.1761450983080662E-02
      50.025013   1.6022800437623708E-01   6.9058110715543608E-01   2.2784501844347231E-03   3.1165483895960383E-02
      50.225113   1.5694849195491820E-01   6.8896184668123817E-01   2.1210004489835618E-03   3.0146669219097089E-02
      50.425213   1.5626259046982796E-01   6.8655120110570855E-01   1.9973872079632688E-03   2.8705372037093998E-02
      50.625313   1.5826017222003638E-01   6.8346224575240599E-01   1.9113988091522718E-03   2.6860707273613532E-02
      50.825413   1.6295902665335407E-01   6.7982235467784347E-01   1.8665953165202837E-03   2.4651444970348466E-02
